groups,dimension,effect,lower,upper
White v. Black people,Superiority,1.38249845227354,0.985959059796962,1.77903784475012
White v. Asian people,Superiority,0.908636576251926,0.514660132366647,1.30261302013721
White v. Hispanic people,Superiority,1.87016163320673,1.47745051016096,2.26287275625249
Asian v. Black people,Superiority,0.57633594011927,0.193812166872541,0.958859713365998
Asian v. Hispanic people,Superiority,0.731597709261157,0.329101857902912,1.1340935606194
Black v. Hispanic people,Superiority,0.00326992168061018,-0.375436653480009,0.38197649684123
White v. Black people,Americanness,0.739667190482534,0.329839421834287,1.14949495913078
White v. Asian people,Americanness,1.29392673041397,0.89796802835578,1.68988543247216
White v. Hispanic people,Americanness,1.86198651689144,1.47874032360499,2.2452327101779
Black v. Asian people,Americanness,0.285527162374689,-0.0922686026489724,0.663322927398351
Black v. Hispanic people,Americanness,0.697267218324924,0.300353425037418,1.09418101161243
Asian v. Hispanic people,Americanness,0.48415869183527,0.0760293104724319,0.892288073198107
