groups,dimension,effect,lower,upper
White v. African Americans,Superiority,1.65597009598265,1.24238046746576,2.06955972449954
White v. Asian Americans,Superiority,0.803252335992581,0.416416788218486,1.19008788376668
White v. Hispanic Americans,Superiority,1.37667586047009,0.990729190418485,1.76262253052169
Asian v. African Americans,Superiority,0.715348259156803,0.318268625941882,1.11242789237172
Asian v. Hispanic Americans,Superiority,0.299381082752638,-0.0717466518548459,0.670508817360121
African v. Hispanic Americans,Superiority,-0.508516035842671,-0.902536850082106,-0.114495221603235
White v. African Americans,Americanness,0.0525385656591373,-0.350169039937272,0.455246171255547
White v. Asian Americans,Americanness,0.881228840954175,0.493299275233863,1.26915840667449
White v. Hispanic Americans,Americanness,0.935270184046552,0.533960756795229,1.33657961129788
African v. Asian Americans,Americanness,0.666804714978985,0.276053445692944,1.05755598426503
African v. Hispanic Americans,Americanness,0.688455154307592,0.273580353648046,1.10332995496714
Asian v. Hispanic Americans,Americanness,-0.011825631591348,-0.415420800231979,0.391769537049283
