groups,dimension,effect,lower,upper
White v. Black people,Superiority,0.773195207760183,0.383557299496805,1.16283311602356
White v. Asian people,Superiority,0.439433946358175,0.0499953885998128,0.828872504116537
White v. Hispanic people,Superiority,2.06639017480946,1.66480400935641,2.46797634026252
Asian v. Black people,Superiority,0.335279139434533,-0.0896831266991906,0.760241405568256
Asian v. Hispanic people,Superiority,1.06129733754046,0.669229013287273,1.45336566179364
Black v. Hispanic people,Superiority,0.539134221171436,0.153086481867077,0.925181960475794
White v. Black people,Americanness,0.600145727948065,0.206086425349968,0.994205030546162
White v. Asian people,Americanness,1.742200187484,1.33482014234018,2.14958023262783
White v. Hispanic people,Americanness,3.05334812240937,2.65249776070231,3.45419848411644
Black v. Asian people,Americanness,0.781836055647264,0.392487444547862,1.17118466674667
Black v. Hispanic people,Americanness,1.48084138216432,1.09545479672803,1.8662279676006
Asian v. Hispanic people,Americanness,0.70246740939629,0.315844322158267,1.08909049663431
