groups,dimension,effect,lower,upper
White v. African Americans,Superiority,0.727660210487433,0.340486760180774,1.11483366079409
White v. Asian Americans,Superiority,0.387390510889901,-0.0184514661230802,0.793232487902883
White v. Hispanic Americans,Superiority,0.894338561730951,0.496821164286604,1.2918559591753
Asian v. African Americans,Superiority,0.368589403844087,-0.0329831114373499,0.770161919125523
Asian v. Hispanic Americans,Superiority,0.467444865718491,0.0708284020084514,0.864061329428531
African v. Hispanic Americans,Superiority,0.044405107485763,-0.350854500164391,0.439664715135917
White v. African Americans,Americanness,0.486993743941156,0.0950620275149162,0.878925460367396
White v. Asian Americans,Americanness,0.681449249442085,0.296977129825044,1.06592136905913
White v. Hispanic Americans,Americanness,1.81356696319492,1.42253906369689,2.20459486269294
African v. Asian Americans,Americanness,0.207832428167722,-0.180777854657855,0.596442710993298
African v. Hispanic Americans,Americanness,1.07709485470846,0.67365042826568,1.48053928115124
Asian v. Hispanic Americans,Americanness,0.765758797472177,0.375915070140237,1.15560252480412
